season,weather,Day,Month,DayPeriod,temp,humidity,windspeed,casual,registered,rented_bikes_count,Year,Profit
Spring,Clear,Friday,March,afternoon,14.76,,16.9979,15,92,107,2011,653.4287671232877
Winter,Clear,Friday,November,evening,11.48,,11.0014,3,108,111,2011,515.8287671232877
Spring,Clear,Tuesday,January,morning,8.2,51.0,7.0015,2,55,57,2011,270.72876712328764
Winter,Clear,Friday,October,evening,,47.0,8.9981,28,280,308,2012,1685.4287671232876
Summer,Clear,Tuesday,May,afternoon,26.24,29.0,8.9981,70,480,550,2011,3267.828767123288
Fall,Clear,Wednesday,July,morning,36.9,42.0,12.998,39,99,138,2012,1096.3287671232877
Summer,Clear,Thursday,June,morning,25.42,61.0,15.0013,45,312,357,2012,2115.428767123288
Winter,Clear,Tuesday,October,morning,20.5,45.0,27.9993,56,172,228,2012,1702.6287671232876
Summer,Clear,Friday,April,morning,13.94,53.0,,3,5,8,2012,72.92876712328767
Spring,Mist,Tuesday,March,morning,13.94,,,27,51,78,2011,683.5287671232877
Winter,Clear,Tuesday,November,afternoon,13.94,46.0,,33,369,402,2012,2154.128767123288
Spring,Mist,Sunday,February,morning,,,,1,26,27,2012,128.82876712328766
Fall,Clear,Saturday,July,morning,31.16,,,11,47,58,2012,391.1287671232877
Fall,Clear,Tuesday,July,morning,28.7,79.0,11.0014,0,6,6,2011,25.628767123287677
Winter,Clear,Thursday,November,morning,16.4,87.0,0.0,0,24,24,2011,103.02876712328768
Fall,Clear,Tuesday,August,morning,32.8,59.0,,61,88,149,2011,1427.4287671232876
Fall,Clear,Saturday,September,morning,22.96,,,43,169,212,2012,1466.1287671232876
Summer,Clear,Saturday,June,afternoon,,36.0,,171,341,512,2012,4407.328767123287
Winter,Clear,Thursday,October,evening,25.42,83.0,19.0012,15,166,181,2011,971.6287671232876
Winter,Clear,Friday,November,morning,12.3,70.0,,1,6,7,2012,42.82876712328767
Winter,Clear,Thursday,November,evening,13.94,42.0,,14,147,161,2012,872.7287671232876
Fall,Clear,Sunday,September,morning,26.24,,,25,69,94,2011,726.5287671232877
Spring,Clear,Thursday,January,morning,5.74,50.0,19.9995,0,3,3,2011,12.728767123287671
Fall,Clear,Saturday,September,morning,18.86,,6.0032,18,61,79,2011,571.7287671232876
Spring,Clear,Sunday,January,afternoon,7.38,37.0,,3,59,62,2011,305.1287671232877
Spring,Mist,Tuesday,January,afternoon,9.02,82.0,,1,124,125,2011,550.2287671232876
Winter,Clear,Saturday,October,morning,,40.0,26.0027,153,221,374,2011,3581.728767123288
Fall,Clear,Thursday,September,afternoon,,70.0,15.0013,42,374,416,2012,2330.428767123288
Fall,Mist,Saturday,August,morning,26.24,,,5,5,10,2011,107.32876712328768
Winter,Clear,Wednesday,October,morning,18.04,,8.9981,3,29,32,2011,176.12876712328767
Spring,Mist,Wednesday,March,morning,26.24,29.0,0.0,55,212,267,2012,1857.428767123288
Summer,Clear,Saturday,June,morning,22.96,73.0,16.9979,8,18,26,2012,214.8287671232877
Summer,Mist,Sunday,June,morning,30.34,,6.0032,141,255,396,2011,3521.528767123288
Winter,Clear,Saturday,October,morning,22.96,,11.0014,37,154,191,2012,1298.4287671232876
Fall,Clear,Sunday,July,morning,26.24,69.0,,28,66,94,2011,765.2287671232876
Winter,Mist,Thursday,December,morning,10.66,56.0,16.9979,3,5,8,2012,72.92876712328767
Winter,Clear,Wednesday,November,afternoon,18.04,62.0,12.998,30,523,553,2011,2764.728767123288
Winter,Clear,Thursday,December,morning,9.84,,19.0012,5,92,97,2011,481.4287671232877
Summer,Clear,Monday,May,afternoon,27.88,51.0,,76,117,193,2011,1810.128767123288
Fall,Mist,Monday,September,morning,27.88,69.0,19.0012,3,5,8,2011,72.92876712328767
Fall,Mist,Saturday,August,morning,28.7,84.0,,12,37,49,2012,365.32876712328766
Winter,Clear,Friday,December,morning,9.02,80.0,0.0,1,1,2,2011,21.328767123287676
Fall,Clear,Saturday,July,morning,30.34,,,4,27,31,2012,184.72876712328767
Spring,Clear,Monday,March,morning,15.58,37.0,0.0,40,54,94,2011,920.0287671232876
Fall,Clear,Monday,July,morning,33.62,56.0,,39,89,128,2011,1053.3287671232877
Fall,Clear,Monday,July,morning,32.8,59.0,12.998,39,126,165,2011,1212.4287671232876
Winter,Clear,Thursday,October,afternoon,22.14,64.0,,59,479,538,2011,3074.328767123288
Winter,Clear,Saturday,December,morning,13.12,81.0,,119,327,446,2012,3452.728767123288
Spring,Clear,Thursday,March,afternoon,22.14,34.0,,27,498,525,2012,2605.628767123288
Winter,Clear,Wednesday,November,evening,16.4,76.0,,25,257,282,2011,1534.9287671232876
Spring,Mist,Tuesday,February,morning,10.66,60.0,,8,90,98,2012,524.4287671232877
Summer,Clear,Wednesday,June,afternoon,,,6.0032,73,230,303,2012,2244.428767123288
Fall,Clear,Monday,September,morning,,72.0,0.0,5,8,13,2012,120.22876712328768
Summer,Clear,Friday,June,evening,31.16,62.0,7.0015,53,197,250,2011,1758.5287671232877
Winter,Clear,Wednesday,October,afternoon,,,,63,208,271,2012,1977.828767123288
Winter,Clear,Monday,December,evening,16.4,40.0,,9,197,206,2011,1001.7287671232876
Winter,Mist,Friday,November,morning,12.3,,7.0015,0,5,5,2012,21.328767123287676
Summer,Mist,Tuesday,May,afternoon,26.24,69.0,19.0012,69,641,710,2012,3942.928767123288
Summer,Clear,Thursday,April,evening,15.58,76.0,16.9979,9,45,54,2011,348.1287671232877
Fall,Mist,Wednesday,August,afternoon,32.8,49.0,,113,328,441,2012,3353.828767123288
Winter,Clear,Monday,November,morning,,82.0,,50,490,540,2012,2966.828767123288
Fall,Rainy,Tuesday,July,evening,26.24,83.0,15.0013,9,75,84,2012,477.1287671232877
Fall,Rainy,Friday,September,morning,25.42,94.0,11.0014,0,3,3,2011,12.728767123287671
Spring,Mist,Wednesday,March,morning,,75.0,,8,49,57,2011,348.1287671232877
Spring,Clear,Sunday,January,evening,,47.0,11.0014,7,50,57,2011,335.22876712328764
Summer,Clear,Sunday,June,evening,27.06,83.0,11.0014,62,144,206,2011,1685.4287671232876
Fall,Clear,Friday,September,evening,27.06,89.0,0.0,49,154,203,2011,1504.8287671232877
Summer,Clear,Tuesday,April,morning,24.6,,,52,165,217,2012,1603.7287671232878
Winter,Clear,Monday,November,morning,,93.0,0.0,2,4,6,2011,51.42876712328767
Fall,Clear,Sunday,September,afternoon,31.16,66.0,15.0013,204,172,376,2011,4248.228767123287
Summer,Clear,Wednesday,June,afternoon,26.24,41.0,,107,345,452,2012,3323.728767123288
Winter,Clear,Sunday,November,evening,19.68,55.0,,69,208,277,2012,2081.028767123288
Fall,Mist,Friday,September,afternoon,28.7,61.0,,82,299,381,2011,2695.928767123288
Spring,Clear,Friday,February,morning,10.66,,6.0032,0,5,5,2012,21.328767123287676
Spring,Mist,Thursday,February,afternoon,,42.0,,11,211,222,2011,1096.3287671232877
Winter,Clear,Monday,December,morning,9.02,,,17,166,183,2011,1006.0287671232876
Spring,Clear,Saturday,February,morning,,28.0,,30,84,114,2011,877.0287671232877
Fall,Mist,Friday,July,morning,,54.0,0.0,53,660,713,2012,3749.428767123288
Summer,Clear,Saturday,May,afternoon,,30.0,7.0015,331,311,642,2012,7030.328767123287
Fall,Clear,Sunday,July,afternoon,,38.0,16.9979,118,219,337,2012,2971.128767123288
Summer,Clear,Friday,May,evening,,35.0,,44,190,234,2012,1573.6287671232876
Winter,Mist,Wednesday,December,morning,10.66,,12.998,3,366,369,2012,1625.2287671232878
Summer,Clear,Sunday,April,morning,,57.0,11.0014,18,44,62,2011,498.6287671232877
Winter,Clear,Monday,November,morning,16.4,76.0,,1,3,4,2012,29.928767123287678
Summer,Clear,Thursday,April,morning,14.76,46.0,22.0028,8,118,126,2012,644.8287671232877
Fall,Clear,Friday,July,morning,25.42,73.0,15.0013,23,57,80,2011,640.5287671232877
Winter,Clear,Sunday,October,morning,,88.0,0.0,15,63,78,2011,528.7287671232876
Fall,Clear,Friday,August,afternoon,,29.0,11.0014,59,190,249,2011,1831.628767123288
Spring,Mist,Thursday,March,evening,22.96,49.0,,6,88,94,2012,481.4287671232877
Spring,Clear,Monday,January,evening,6.56,47.0,11.0014,3,92,95,2011,447.0287671232877
Winter,Clear,Friday,November,morning,10.66,65.0,8.9981,9,332,341,2012,1582.2287671232878
Fall,Clear,Monday,August,morning,26.24,78.0,,29,326,355,2011,1900.428767123288
Winter,Clear,Friday,October,afternoon,22.96,,7.0015,21,212,233,2012,1272.6287671232876
Summer,Clear,Friday,June,evening,29.52,,16.9979,40,145,185,2011,1311.3287671232877
Summer,Mist,Sunday,May,morning,18.86,82.0,0.0,8,15,23,2011,201.92876712328768
Winter,Mist,Monday,December,evening,18.86,94.0,12.998,21,224,245,2012,1324.2287671232878
Fall,Mist,Friday,September,morning,,,,0,20,20,2011,85.82876712328768
Fall,Mist,Monday,July,evening,30.34,55.0,7.0015,69,378,447,2012,2812.028767123288
Summer,Clear,Thursday,June,morning,,38.0,,3,12,15,2011,103.02876712328768
Winter,Clear,Saturday,December,evening,8.2,75.0,0.0,6,63,69,2011,373.9287671232877
Winter,Mist,Sunday,November,afternoon,16.4,62.0,22.0028,59,313,372,2012,2360.528767123288
Fall,Mist,Thursday,September,afternoon,30.34,70.0,,67,741,808,2012,4338.528767123287
Spring,Rainy,Tuesday,January,evening,6.56,,,0,20,20,2011,85.82876712328768
Fall,Rainy,Wednesday,August,morning,32.8,52.0,0.0,80,159,239,2012,2059.528767123288
Fall,Clear,Sunday,September,afternoon,,30.0,,232,415,647,2012,5774.728767123287
Winter,Clear,Wednesday,November,afternoon,,53.0,,20,178,198,2012,1109.2287671232878
Spring,Clear,Monday,February,afternoon,13.12,22.0,,11,129,140,2012,743.7287671232876
Fall,Clear,Monday,July,morning,27.06,78.0,12.998,3,4,7,2011,68.62876712328767
Spring,Clear,Wednesday,February,afternoon,17.22,41.0,15.0013,7,164,171,2012,825.4287671232877
Fall,Clear,Monday,July,evening,30.34,66.0,12.998,48,154,202,2011,1487.6287671232876
Spring,Clear,Thursday,March,morning,5.74,33.0,19.9995,1,7,8,2011,47.12876712328767
Summer,Mist,Tuesday,April,morning,22.96,64.0,31.0009,9,83,92,2011,511.5287671232877
Spring,Clear,Friday,January,afternoon,,,39.0007,15,123,138,2012,786.7287671232876
Winter,Clear,Thursday,December,afternoon,16.4,,,20,130,150,2011,902.8287671232875
Fall,Mist,Monday,July,morning,,,,12,31,43,2012,339.52876712328765
Fall,Clear,Saturday,July,morning,,,,7,41,48,2012,296.52876712328765
Summer,Clear,Sunday,May,afternoon,,54.0,,255,347,602,2012,5877.928767123288
Summer,Mist,Tuesday,June,morning,27.88,65.0,12.998,0,6,6,2012,25.628767123287677
Winter,Clear,Friday,October,morning,23.78,94.0,8.9981,8,16,24,2011,206.22876712328767
Spring,Clear,Monday,March,morning,15.58,50.0,8.9981,1,9,10,2012,55.72876712328767
Summer,Mist,Wednesday,May,morning,22.14,,15.0013,8,15,23,2011,201.92876712328768
Fall,Clear,Tuesday,September,morning,22.14,,6.0032,48,702,750,2012,3844.028767123288
Fall,Clear,Friday,August,morning,,,8.9981,3,73,76,2011,365.32876712328766
Fall,Clear,Thursday,August,morning,29.52,74.0,,16,51,67,2012,494.32876712328766
Fall,Clear,Monday,July,afternoon,,56.0,26.0027,57,182,239,2011,1762.8287671232877
Summer,Clear,Sunday,April,morning,11.48,65.0,15.0013,1,4,5,2011,34.22876712328767
Fall,Clear,Saturday,July,afternoon,39.36,26.0,8.9981,103,176,279,2012,2528.228767123288
Summer,Mist,Thursday,May,morning,,,16.9979,1,20,21,2012,103.02876712328768
Spring,Clear,Wednesday,January,morning,,,35.0008,0,88,88,2012,378.2287671232877
Spring,Clear,Friday,February,morning,11.48,,12.998,0,1,1,2012,4.128767123287672
Spring,Clear,Monday,January,morning,,,19.9995,13,48,61,2011,429.82876712328766
Winter,Clear,Tuesday,December,morning,8.2,80.0,,0,4,4,2011,17.028767123287672
Winter,Clear,Friday,December,morning,,50.0,12.998,29,244,273,2012,1547.8287671232877
Winter,Clear,Thursday,December,morning,10.66,56.0,,2,112,114,2012,515.8287671232877
Winter,Rainy,Tuesday,October,evening,25.42,94.0,,27,368,395,2012,2046.628767123288
Winter,Clear,Wednesday,December,morning,,,19.0012,33,203,236,2012,1440.3287671232877
Winter,Clear,Monday,December,afternoon,18.86,72.0,6.0032,16,132,148,2011,842.6287671232876
Summer,Clear,Thursday,May,evening,22.96,,8.9981,31,192,223,2011,1358.6287671232876
Fall,Mist,Saturday,August,morning,28.7,,,70,138,208,2011,1797.2287671232878
Summer,Rainy,Thursday,May,morning,18.04,94.0,,8,376,384,2012,1754.2287671232878
Winter,Mist,Sunday,December,morning,16.4,87.0,7.0015,0,8,8,2012,34.22876712328767
Spring,Clear,Wednesday,January,morning,0.82,,12.998,0,14,14,2012,60.02876712328767
Fall,Clear,Thursday,August,morning,,89.0,19.9995,7,90,97,2011,507.2287671232877
Winter,Clear,Monday,October,afternoon,17.22,67.0,11.0014,16,102,118,2011,713.6287671232876
Summer,Clear,Monday,June,afternoon,31.16,33.0,,34,233,267,2011,1586.5287671232877
Summer,Clear,Wednesday,April,morning,22.14,,11.0014,3,35,38,2012,201.92876712328768
Winter,Mist,Monday,October,morning,16.4,,,12,141,153,2011,812.5287671232877
Summer,Mist,Thursday,April,morning,18.86,41.0,,60,199,259,2012,1887.528767123288
Summer,Clear,Thursday,June,afternoon,,22.0,,74,451,525,2011,3211.928767123288
Fall,Clear,Thursday,August,morning,28.7,,0.0,21,452,473,2012,2304.628767123288
Summer,Mist,Sunday,May,afternoon,20.5,72.0,0.0,113,153,266,2011,2601.328767123288
Summer,Mist,Saturday,April,afternoon,25.42,,,197,284,481,2012,4609.428767123288
Fall,Clear,Monday,July,morning,,70.0,,24,459,483,2012,2386.328767123288
Spring,Clear,Monday,February,morning,6.56,,,0,72,72,2012,309.4287671232877
Summer,Clear,Thursday,June,morning,,34.0,16.9979,19,285,304,2011,1552.1287671232876
Winter,Mist,Monday,October,morning,,66.0,,19,82,101,2011,679.2287671232876
Summer,Clear,Sunday,May,morning,22.96,73.0,7.0015,144,270,414,2012,3637.628767123288
Winter,Clear,Saturday,October,morning,13.94,,7.0015,23,151,174,2012,1044.7287671232878
Fall,Clear,Tuesday,August,afternoon,36.9,25.0,19.0012,45,114,159,2011,1264.0287671232877
Spring,Clear,Sunday,January,afternoon,14.76,,22.0028,10,43,53,2011,356.72876712328764
Fall,Rainy,Saturday,July,morning,,,7.0015,3,6,9,2012,77.22876712328768
Summer,Mist,Friday,May,afternoon,29.52,,,103,240,343,2012,2803.428767123288
Spring,Mist,Friday,February,morning,17.22,77.0,12.998,15,154,169,2011,920.0287671232876
Summer,Clear,Thursday,April,morning,18.04,,0.0,66,210,276,2012,2038.028767123288
Spring,Mist,Saturday,March,morning,20.5,,6.0032,140,303,443,2012,3710.728767123288
Summer,Mist,Wednesday,June,afternoon,28.7,45.0,,52,203,255,2012,1767.1287671232876
Summer,Mist,Tuesday,May,evening,23.78,,27.9993,30,253,283,2011,1603.7287671232878
Summer,Clear,Sunday,April,evening,,67.0,,19,37,56,2011,485.7287671232877
Winter,Clear,Tuesday,November,morning,12.3,87.0,,1,17,18,2011,90.12876712328767
Summer,Clear,Friday,May,evening,26.24,69.0,,49,186,235,2012,1642.4287671232876
Winter,Mist,Monday,November,morning,14.76,66.0,,3,128,131,2012,601.8287671232877
Spring,Clear,Thursday,March,morning,,,12.998,0,5,5,2012,21.328767123287676
Fall,Clear,Wednesday,September,afternoon,24.6,,,2,9,11,2011,72.92876712328767
Fall,Mist,Monday,July,morning,,58.0,8.9981,61,205,266,2012,1930.528767123288
Fall,Clear,Tuesday,July,afternoon,35.26,44.0,,25,177,202,2011,1190.9287671232876
Fall,Clear,Wednesday,August,morning,28.7,84.0,,12,46,58,2012,404.0287671232877
Winter,Clear,Saturday,December,afternoon,11.48,36.0,22.0028,34,151,185,2011,1233.9287671232876
Fall,Mist,Tuesday,August,evening,33.62,46.0,16.9979,40,248,288,2011,1754.2287671232878
Fall,Clear,Friday,September,evening,19.68,67.0,,32,135,167,2011,1130.7287671232878
Summer,Mist,Friday,May,afternoon,21.32,,26.0027,69,157,226,2011,1861.728767123288
Summer,Clear,Thursday,April,evening,23.78,,,70,516,586,2012,3422.628767123288
Summer,Mist,Tuesday,April,morning,20.5,72.0,,15,60,75,2011,515.8287671232877
Winter,Mist,Sunday,November,morning,18.86,40.0,,108,187,295,2011,2661.528767123288
Summer,Mist,Tuesday,April,morning,,,7.0015,1,3,4,2012,29.928767123287678
Fall,Clear,Wednesday,August,morning,27.06,65.0,6.0032,12,296,308,2011,1479.0287671232877
Spring,Clear,Sunday,January,morning,5.74,43.0,26.0027,0,49,49,2011,210.52876712328765
Summer,Clear,Tuesday,May,evening,21.32,55.0,7.0015,29,121,150,2011,1018.9287671232876
Summer,Rainy,Wednesday,April,afternoon,17.22,77.0,,10,88,98,2012,550.2287671232876
Winter,Mist,Saturday,December,morning,,65.0,7.0015,0,3,3,2011,12.728767123287671
Summer,Clear,Wednesday,April,morning,9.84,,8.9981,0,1,1,2011,4.128767123287672
Winter,Clear,Sunday,October,afternoon,,61.0,7.0015,208,230,438,2011,4566.428767123288
Spring,Clear,Wednesday,January,morning,,74.0,6.0032,0,6,6,2011,25.628767123287677
Summer,Mist,Saturday,June,evening,28.7,48.0,6.0032,90,149,239,2011,2188.528767123288
Summer,Clear,Thursday,April,morning,,51.0,12.998,21,68,89,2011,653.4287671232877
Winter,Clear,Sunday,November,evening,12.3,,19.9995,16,71,87,2012,580.3287671232877
Fall,Clear,Monday,August,morning,27.06,83.0,,2,24,26,2011,137.42876712328766
Summer,Clear,Tuesday,April,morning,27.06,,12.998,10,33,43,2012,313.72876712328764
Fall,Clear,Friday,August,morning,,53.0,8.9981,4,19,23,2011,150.32876712328766
Spring,Clear,Tuesday,February,afternoon,13.94,,15.0013,10,69,79,2011,468.5287671232877
Fall,Mist,Saturday,September,morning,27.06,94.0,16.9979,2,13,15,2012,90.12876712328767
Summer,Mist,Sunday,May,evening,26.24,,,48,121,169,2012,1345.7287671232878
Summer,Clear,Friday,June,morning,22.14,,,1,5,6,2011,38.52876712328767
Summer,Clear,Wednesday,May,morning,22.96,88.0,,1,5,6,2012,38.52876712328767
Winter,Clear,Tuesday,October,morning,,,0.0,1,2,3,2011,25.628767123287677
Summer,Clear,Monday,May,afternoon,25.42,38.0,16.9979,59,539,598,2011,3332.328767123288
Spring,Clear,Wednesday,February,evening,9.84,48.0,,4,71,75,2011,373.9287671232877
Fall,Clear,Monday,August,morning,30.34,62.0,0.0,24,258,282,2011,1522.0287671232877
Fall,Mist,Sunday,August,morning,27.06,89.0,12.998,4,20,24,2011,154.62876712328767
Spring,Mist,Tuesday,January,afternoon,,,15.0013,0,22,22,2011,94.42876712328768
Spring,Rainy,Saturday,February,morning,,93.0,,0,2,2,2012,8.42876712328767
Fall,Clear,Monday,July,afternoon,35.26,50.0,,22,119,141,2011,889.9287671232877
Winter,Clear,Tuesday,October,morning,18.04,,6.0032,1,4,5,2011,34.22876712328767
Spring,Rainy,Saturday,February,evening,10.66,87.0,8.9981,5,75,80,2012,408.32876712328766
Spring,Mist,Thursday,March,afternoon,,38.0,,45,545,590,2012,3117.328767123288
Summer,Clear,Wednesday,June,morning,28.7,,,0,3,3,2011,12.728767123287671
Winter,Clear,Monday,December,evening,20.5,68.0,6.0032,27,444,471,2012,2373.428767123288
Summer,Rainy,Friday,June,evening,26.24,78.0,16.9979,12,73,85,2012,520.1287671232876
Summer,Clear,Thursday,May,morning,17.22,,,2,27,29,2011,150.32876712328766
Fall,Clear,Friday,August,morning,26.24,,7.0015,0,6,6,2012,25.628767123287677
Winter,Clear,Wednesday,October,morning,16.4,76.0,0.0,38,779,817,2012,4003.128767123288
Summer,Clear,Tuesday,May,afternoon,28.7,,6.0032,68,665,733,2012,4028.928767123288
Fall,Clear,Wednesday,August,evening,28.7,,,29,197,226,2012,1345.7287671232878
Summer,Mist,Tuesday,April,morning,22.14,68.0,11.0014,19,53,72,2011,554.5287671232877
Fall,Rainy,Wednesday,August,evening,27.88,,,11,66,77,2011,472.82876712328766
Winter,Clear,Thursday,November,morning,13.12,31.0,23.9994,22,253,275,2012,1466.1287671232876
Summer,Mist,Thursday,May,morning,22.14,,,35,95,130,2011,1010.3287671232875
Summer,Mist,Saturday,April,morning,,,27.9993,3,18,21,2011,128.82876712328766
Winter,Mist,Monday,November,morning,16.4,76.0,8.9981,6,14,20,2012,163.22876712328767
Fall,Clear,Thursday,August,morning,,,11.0014,7,30,37,2012,249.22876712328767
Fall,Clear,Wednesday,August,morning,27.88,79.0,11.0014,3,44,47,2012,240.62876712328767
Summer,Clear,Wednesday,April,evening,17.22,,,24,165,189,2012,1122.1287671232876
Summer,Mist,Wednesday,May,morning,,88.0,0.0,26,289,315,2012,1689.7287671232878
Fall,Clear,Tuesday,July,afternoon,,42.0,19.9995,61,216,277,2011,1977.828767123288
Summer,Clear,Tuesday,April,morning,,,,91,167,258,2012,2283.128767123288
Winter,Clear,Wednesday,November,morning,9.84,65.0,,4,142,146,2012,679.2287671232876
Summer,Clear,Friday,April,evening,18.04,,7.0015,34,181,215,2012,1362.9287671232876
Summer,Clear,Tuesday,May,morning,23.78,68.0,,46,111,157,2012,1268.3287671232877
Winter,Clear,Thursday,October,morning,26.24,,6.0032,12,379,391,2012,1835.928767123288
Summer,Clear,Sunday,June,afternoon,32.8,59.0,,142,218,360,2011,3379.628767123288
Fall,Mist,Saturday,September,morning,32.8,,15.0013,219,273,492,2012,4940.528767123287
Summer,Clear,Friday,June,morning,34.44,,,40,167,207,2011,1405.9287671232876
Fall,Clear,Saturday,August,afternoon,,42.0,19.9995,195,332,527,2012,4781.428767123288
Summer,Mist,Tuesday,May,morning,26.24,69.0,23.9994,36,91,127,2011,1010.3287671232875
Summer,Mist,Saturday,June,morning,,,12.998,5,31,36,2012,219.12876712328767
Winter,Clear,Saturday,November,evening,,57.0,,15,133,148,2012,829.7287671232876
Fall,Rainy,Friday,August,morning,,91.0,11.0014,7,112,119,2012,601.8287671232877
Summer,Clear,Friday,April,morning,13.94,42.0,22.0028,58,318,376,2012,2364.828767123288
Spring,Mist,Friday,January,evening,7.38,,,1,14,15,2011,77.22876712328768
Fall,Clear,Friday,September,morning,24.6,83.0,,3,73,76,2011,365.32876712328766
Summer,Clear,Wednesday,April,afternoon,18.86,,19.0012,23,119,142,2011,907.1287671232876
Summer,Clear,Monday,May,morning,18.04,88.0,0.0,25,8,33,2011,464.2287671232877
Winter,Clear,Monday,December,morning,,,0.0,2,136,138,2012,619.0287671232877
Winter,Rainy,Thursday,November,morning,12.3,52.0,23.9994,1,11,12,2012,64.32876712328768
Fall,Mist,Wednesday,September,evening,28.7,,7.0015,44,337,381,2011,2205.728767123288
Fall,Clear,Sunday,September,evening,25.42,73.0,7.0015,65,161,226,2011,1810.128767123288
Winter,Clear,Wednesday,November,morning,17.22,71.0,,27,117,144,2011,967.3287671232875
Fall,Clear,Sunday,July,afternoon,35.26,41.0,7.0015,171,309,480,2012,4269.728767123287
Fall,Clear,Sunday,July,afternoon,32.8,49.0,26.0027,133,236,369,2011,3302.228767123288
Spring,Clear,Tuesday,January,morning,5.74,59.0,16.9979,2,168,170,2012,756.6287671232876
Fall,Clear,Saturday,July,afternoon,41.0,,,102,192,294,2012,2579.828767123288
Spring,Clear,Saturday,March,afternoon,,27.0,,167,300,467,2012,4162.228767123287
Summer,Clear,Saturday,April,afternoon,21.32,,,321,305,626,2012,6832.528767123287
Fall,Clear,Monday,August,afternoon,33.62,,,112,746,858,2012,5134.028767123287
Fall,Clear,Friday,September,evening,,74.0,11.0014,55,246,301,2012,2003.628767123288
Fall,Clear,Thursday,August,morning,27.06,65.0,15.0013,2,4,6,2011,51.42876712328767
Winter,Clear,Saturday,December,evening,,47.0,,5,61,66,2011,348.1287671232877
Summer,Clear,Thursday,April,morning,,,6.0032,46,143,189,2012,1405.9287671232876
Fall,Clear,Wednesday,August,afternoon,30.34,55.0,19.0012,102,749,851,2012,4974.928767123288
Winter,Rainy,Wednesday,October,morning,22.14,94.0,19.9995,0,2,2,2011,8.42876712328767
Winter,Clear,Thursday,October,morning,26.24,89.0,0.0,3,10,13,2012,94.42876712328768
Winter,Clear,Monday,November,afternoon,13.94,46.0,,34,604,638,2012,3181.828767123288
Spring,Mist,Tuesday,February,afternoon,9.02,80.0,,5,49,54,2011,296.52876712328765
Spring,Mist,Wednesday,February,evening,5.74,,11.0014,0,83,83,2011,356.72876712328764
Fall,Clear,Wednesday,August,morning,31.16,,15.0013,32,148,180,2011,1186.6287671232876
Fall,Clear,Friday,August,afternoon,31.98,52.0,,81,164,245,2011,2098.228767123288
Fall,Clear,Monday,September,evening,25.42,83.0,,7,62,69,2011,386.82876712328766
Summer,Clear,Thursday,June,morning,29.52,54.0,26.0027,41,165,206,2011,1414.5287671232877
Fall,Clear,Sunday,July,afternoon,34.44,,,142,219,361,2011,3383.928767123288
Fall,Mist,Friday,August,morning,,83.0,6.0032,12,251,263,2011,1285.5287671232877
Winter,Mist,Thursday,December,morning,13.12,70.0,,5,15,20,2011,150.32876712328766
Fall,Clear,Friday,August,morning,,62.0,6.0032,57,108,165,2011,1444.6287671232876
Fall,Clear,Friday,August,morning,,29.0,0.0,48,108,156,2011,1289.8287671232877
Fall,Mist,Wednesday,August,morning,31.16,52.0,11.0014,0,7,7,2011,29.928767123287678
Summer,Clear,Monday,June,morning,26.24,38.0,32.9975,71,168,239,2012,1943.428767123288
Spring,Clear,Friday,March,morning,,,,4,88,92,2012,447.0287671232877
Spring,Clear,Sunday,March,evening,12.3,56.0,22.0028,8,29,37,2011,262.1287671232877
Winter,Mist,Monday,November,morning,19.68,,,29,204,233,2011,1375.8287671232877
Winter,Clear,Monday,December,morning,7.38,,0.0,0,2,2,2011,8.42876712328767
Spring,Clear,Friday,February,afternoon,14.76,46.0,0.0,25,173,198,2012,1173.7287671232878
Winter,Rainy,Tuesday,December,afternoon,20.5,,,2,43,45,2011,219.12876712328767
Spring,Rainy,Friday,February,morning,,,0.0,8,275,283,2012,1319.9287671232876
Spring,Clear,Friday,January,evening,6.56,69.0,,4,48,52,2011,275.02876712328765
Fall,Mist,Saturday,September,morning,,72.0,15.0013,5,17,22,2011,158.92876712328766
Fall,Mist,Wednesday,September,morning,21.32,63.0,,1,4,5,2012,34.22876712328767
Fall,Mist,Saturday,September,morning,24.6,97.0,7.0015,18,46,64,2011,507.2287671232877
Summer,Mist,Monday,May,afternoon,22.96,,,25,204,229,2012,1307.0287671232877
Spring,Clear,Sunday,March,afternoon,20.5,29.0,19.9995,201,286,487,2012,4686.828767123287
Winter,Clear,Saturday,October,morning,18.86,82.0,0.0,14,51,65,2011,459.9287671232877
Spring,Mist,Wednesday,February,afternoon,,,,9,157,166,2011,829.7287671232876
Summer,Clear,Friday,June,afternoon,32.8,59.0,,96,367,463,2011,3229.128767123288
Summer,Clear,Tuesday,June,morning,,78.0,8.9981,10,116,126,2011,670.6287671232876
Winter,Clear,Friday,December,evening,,45.0,,11,203,214,2011,1061.9287671232876
Summer,Clear,Saturday,May,afternoon,26.24,,12.998,293,366,659,2012,6613.228767123287
Spring,Clear,Thursday,January,morning,5.74,50.0,23.9994,0,2,2,2011,8.42876712328767
Spring,Clear,Saturday,February,afternoon,9.02,,31.0009,13,131,144,2012,786.7287671232876
Fall,Clear,Thursday,August,afternoon,,39.0,,97,320,417,2012,3044.228767123288
Winter,Clear,Saturday,November,afternoon,21.32,,,216,351,567,2012,5224.328767123287
Fall,Clear,Tuesday,July,morning,31.98,46.0,7.0015,75,97,172,2011,1706.9287671232876
